count	reward_sum	squared_reward_sum	length
397	-8.814771844981152	10021.970559886387	632
398	-89.11871914940188	27.356865712990434	2000
399	-57.25316788819207	10011.254976787268	330
400	-88.06751054411541	10003.06448358019	144
401	-32.0438413518699	10013.728622231154	636
402	-96.18611230646943	10001.310617830848	141
403	-59.20709376914154	10010.96244839649	251
404	-85.8422240978341	10003.347876744416	124
405	-61.372298018712286	10012.18363922788	285
406	-41.28804111391777	10015.223007005408	429
407	-58.49554531016207	10011.548470648979	346
408	-54.328153808047425	10021.591388766177	562
409	-92.17067997677329	10004.920656639213	151
410	-88.4810622390373	10003.64175546211	149
411	-63.4861744126838	10009.7256290904	228
412	-79.61471426259862	10011.296184834051	418
413	-90.73114424456111	10003.692912769593	123
414	16.936906892013383	10031.091323744182	770
415	-51.101793802893525	10012.370235321081	415
416	-9.380381342330594	10029.067855890553	810
417	-84.18192399228894	10005.440278778575	187
418	-66.14981027093214	10007.639898268964	363
419	-36.29998649384778	10017.2402561183	455
420	12.969471948829309	10029.098973567836	850
421	-47.14592598836402	10011.98490802046	384
422	-7.890851551384969	10021.921825335072	539
423	23.98453310281846	10041.133554067268	836
424	-26.94611144110911	10030.064306363774	699
425	-59.96562014654982	10009.276046055484	286
426	-22.429797469651206	10025.590114407787	730
427	-83.5043302941359	10004.773122654322	183
428	-61.510576484413235	10010.111292101827	227
429	-86.21113918695815	10018.443033966452	462
430	-64.8607222093069	10012.445443673447	330
431	-15.83859341896327	10020.007718946434	521
432	-78.13304903733669	10006.054853071282	152
433	-82.17059002803344	10020.487522165018	759
434	-25.969267560118467	10015.521322261015	520
435	-43.96757718681096	10014.49554589396	427
436	-15.877272011818405	10019.365066997236	493
437	88.15460459611117	10042.921930971914	1165
438	-96.16244879173112	10003.37183337049	192
439	9.139826549805832	10027.935835064469	620
440	-22.312726140236506	10017.903944241683	498
441	-82.55191765801612	10008.225533365228	204
442	-46.66282322879684	10014.501826827855	293
443	-83.77517227204771	10005.853795066423	249
444	43.75152915356776	10035.677195586237	736
445	65.31066622651795	10041.419247197044	892
446	-58.78997344503581	10010.943709578298	228
447	-33.391764226728284	10017.02842811481	389
448	-130.9303903691236	10012.197408010103	637
449	-63.647516722768	10011.610524313453	269
450	-76.37566867869509	10007.178067054485	274
451	28.849248225382723	10030.873694466442	815
452	47.12981251827938	10035.354008543569	983
453	-43.39066248128383	10016.07623325392	353
454	-93.02382500894583	10003.100758487957	158
455	8.984119511559228	10024.172992107506	655
456	-39.63668645467163	10017.843826933657	366
457	208.29599256083858	48.91080104191108	1179
458	-49.0536033718805	10013.612461176594	305
459	-94.72728945651026	10003.43837494907	175
460	23.066228040069944	10028.938284586975	826
461	-85.53232963154433	10022.197745327254	503
