count	reward_sum	squared_reward_sum	length
456	16.6776450696905	10040.182136431707	396
457	233.33937664531115	86.5856639736239	689
458	233.76550155186223	86.37530690161209	691
459	231.13917009527879	85.1616606428869	701
460	232.49223448474478	86.964048759058	683
461	232.59190557973176	84.9553886108838	695
462	233.04691654931494	86.13720593340146	692
463	233.6437927779093	88.15340741630939	678
464	5.0287304771055545	10036.870268909403	353
465	-63.80001549712731	10009.78922521481	183
466	233.63641713206496	86.03291896250838	695
467	233.6962723484059	86.84307022547617	688
468	232.77891357272168	84.0307957038456	715
469	232.70297951252311	85.41636136474973	698
470	233.48646116355152	86.72979946480429	687
471	234.04510762373693	85.5098780018701	699
472	233.0527582831476	84.24531880487382	705
473	233.5755939645722	84.07256504997879	705
474	230.5239653892721	81.61101706062524	729
475	231.2058925314472	83.7879978871083	710
476	229.2137438837355	81.49372107083741	727
477	231.26669021524873	83.45673330716278	707
478	232.65421843465066	84.53408119359317	715
479	232.16063346214528	84.69752871592576	698
480	233.22734484679282	85.38459349662001	704
481	233.4979520628787	83.27655284362527	719
482	234.40374341544464	85.58927393610274	694
483	233.40742030335232	85.26340567238066	693
484	232.97245171335265	84.78183458284927	698
485	232.72698613915813	83.88518773566273	703
486	233.07766331001577	84.04606180353521	704
487	232.13860821888602	85.09252410036382	708
488	231.1524555134595	82.75867948209849	716
489	232.16622278917754	83.64300511826913	718
490	230.95672360304025	80.76690618152752	725
491	232.844207705631	84.56419498662348	706
492	231.98050525999864	82.05815883936549	712
493	232.916322280443	82.77400971727404	709
494	232.93177750988792	83.85562365697028	711
495	232.58089015515785	84.76542197892921	693
496	234.19219529990767	85.69255729093628	698
497	232.778032912356	85.40227503550699	691
498	232.1014425556109	83.19260837369998	702
499	233.08790501547819	85.28751783305692	695
500	233.57273567566958	84.47051394138802	711
501	232.61237190171366	83.10475934693554	710
502	232.40206150239052	83.85030502742721	705
503	232.29615871510393	82.9787809423671	708
504	231.19337321157673	79.67668129460114	728
505	233.39507603897675	84.06678866095852	703
506	233.22982044600735	82.00183960141672	720
507	233.31135439991624	81.34107684999266	726
508	232.72424703443312	81.94238267194575	716
